Device,FQN,Vendor,OS,"OS Version",Model,"Management Address",Source,"Command Files"
gbleeao1rtr001,gbleeao1rtr001.hm.com,Cisco,IOS,15.2(4)M3,CISCO2921/K9,10.15.27.193,managed,33
gbleeao1swi001,gbleeao1swi001.hm.com,Cisco,XE,3.6.4E,WS-C3650-24PD,10.15.27.194,managed,33
gblonao15rtr001,"gblonao15rtr001.vrf MGMT hm.com",Cisco,XE,16.6.4,C1111-8PWE,10.20.12.164,managed,35
gblonao15swi001,gblonao15swi001.hm.com,Cisco,IOS,15.2(2)E6,WS-C3650-48PD,10.20.10.243,cdp,0
gblonao4hap201,gblonao4hap201,Cisco,IOS,15.3(3)JF10,AIR-CAP2702I-E-K9,10.15.53.34,cdp,0
gblonao4hap202,gblonao4hap202,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.15.53.27,cdp,0
gblonao4rtr001,"gblonao4rtr001.vrf MGMT hm.com",Cisco,XE,15.5(3)S2,ISR4331/K9,10.20.13.76,managed,35
gblonao4swi001,gblonao4swi001.hm.com,Cisco,XE,3.6.4E,WS-C3650-24PD,10.20.8.35,managed,33
gblondc1hap001,gblondc1hap001,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.188.216.233,cdp,0
gblondc1hap002,gblondc1hap002,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.188.216.227,cdp,0
gblondc1hap003,gblondc1hap003,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.188.216.203,cdp,0
gblondc1hap004,gblondc1hap004,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.188.216.236,cdp,0
gblondc1hap005,gblondc1hap005,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.188.216.207,cdp,0
gblondc1hap006,gblondc1hap006.hm.com,Cisco,IOS,15.3(3)JF10,AIR-CAP1532E-E-K9,10.188.216.238,cdp,0
gblondc1hap101,gblondc1hap101,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.188.216.224,cdp,0
gblondc1hap102,gblondc1hap102,Cisco,IOS,unknown,AIR-AP2802I-E-K9,10.188.216.201,cdp,0
gblondc1rtr001,"gblondc1rtr001.vrf MGMT hm.com",Cisco,XE,15.5(3)S5,ISR4431/K9,10.20.12.108,managed,35
gblondc1rtr002,gblondc1rtr002,Cisco,IOS,15.5(3)S5,ISR4431/K9,51.219.122.66,cdp,0
