Device,Vendor,OS,Model,"OS Version",Tag,VRF,Net,Network
sesthcc3ler005,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1057.00,10.247.2.40/30
sesthcc3ler005,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1057.00,10.247.2.44/30
sesthcc3ler005,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1057.00,10.247.0.204/30
sesthcc3ler005,Cisco,IOS,C6880-X-LE,15.2(1)SY5,,default,49.0001.0102.4700.1057.00,10.247.1.57/32
sesthcc3ler100,Cisco,XE,ASR1006,15.5(3)S7,,default,49.0001.0102.4700.1036.00,10.247.2.8/30
sesthcc3ler100,Cisco,XE,ASR1006,15.5(3)S7,,default,49.0001.0102.4700.1036.00,10.247.1.80/32
sesthcc3ler100,Cisco,XE,ASR1006,15.5(3)S7,,default,49.0001.0102.4700.1036.00,10.247.3.212/30
sesthcc3ler100,Cisco,XE,ASR1006,15.5(3)S7,,default,49.0001.0102.4700.1036.00,10.247.1.36/32
sesthcc3ler101,Cisco,XE,ASR1006,15.5(3)S7,,default,49.0001.0102.4700.1037.00,10.247.1.81/32
sesthcc3ler101,Cisco,XE,ASR1006,15.5(3)S7,,default,49.0001.0102.4700.1037.00,10.247.3.216/30
sesthcc3ler101,Cisco,XE,ASR1006,15.5(3)S7,,default,49.0001.0102.4700.1037.00,10.247.1.37/32
