name,category,strucBreaks
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]ipv6__lisp-decap-errors,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__too-short-error-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__checksum-error-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__unknown-error-type-message0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-unreachable-admin-mes0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-unreachable-neighbor-0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-unreachable-address-m0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-unreachable-port-mess0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-unreachable-routi0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-unreachable-admin0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-unreachable-neigh0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-unreachable-addre0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-unreachable-port-0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-hop-count-expired0/0/CPU0,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-too-big-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__received-too-big-messages,Constant Slopes,
Cisco-IOS-XR-ipv6-io-oper:ipv6-io/nodes/node/statistics/traffic[node-name:0/0/CPU0]icmp__sent-parameter-error-messa0/0/CPU0,Constant Slopes,
